Date,Open,High,Low,Close,Adj Close,Volume,Sample
29-01-2021,538,541,530.179993,532.390015,532.390015,4325300,1
26-02-2021,546.51001,553.090027,538,538.849976,538.849976,3755600,2
31-03-2021,515.669983,528.130005,515.440002,521.659973,521.659973,3503100,3
30-04-2021,505,514.549988,505,513.469971,513.469971,4413200,4
28-05-2021,504.399994,511.76001,502.529999,502.809998,502.809998,2910300,5
30-06-2021,534.059998,534.380005,526.820007,528.210022,528.210022,2773400,6
30-07-2021,512.690002,519.789978,510.959991,517.570007,517.570007,2534900,7
31-08-2021,566.119995,569.47998,561.609985,569.190002,569.190002,2431900,8
30-09-2021,608.049988,619,608.049988,610.340027,610.340027,6612600,9
29-10-2021,673.059998,690.969971,671.23999,690.309998,690.309998,3817500,10
30-11-2021,668.200012,675.380005,640.01001,641.900024,641.900024,5608900,11
31-12-2021,610.01001,614.080017,602.049988,602.440002,602.440002,1995900,12
31-01-2022,401.970001,427.700012,398.200012,427.140015,427.140015,20047500,13
04-02-2022,407.309998,412.769989,396.640015,410.170013,410.170013,7782400,14
